name,photo,desc,cv,records,instagram,facebook,linkedin,video,slogan
Monica Baggia,team-12.jpg,"Sono assessora all’urbanistica del Comune di Trento dal 2020 e avvocata penalista con 35 anni di esperienza. Nel corso della mia carriera, ho avuto l’onore di ricoprire il ruolo di Consigliera dell’Ordine degli Avvocati di Trento e di fondare il Comitato Pari Opportunità locale. Dal 2014 al 2020 sono stata Presidente di Trentino Trasporti, un’esperienza che mi ha permesso di lavorare a stretto contatto con la comunità e di contribuire allo sviluppo della mobilità sul territorio.",baggia.pdf,baggia.pdf,monica.baggia,monica.baggia,avv-monica-baggia-17ba2146,DHTSBOLt5mG,
Roberta Berardini,team-37.jpg,"Ho 47 anni, ho due figli di 18 e 16 anni, da poco vivo a San Michele all’Adige, ma sono cresciuta a Canova di Gardolo e per vent’anni ho vissuto a Gardolo di Mezzo. Ho frequentato il liceo scientifico Da Vinci a Trento e poi l’università di Verona dove ho conseguito prima il diploma e poi la laurea in fisioterapia. Ho lavorato per alcuni anni in libera professione presso il Kinesi - centro di fisioterapia e di medicina dello sport e dal 2001 lavoro come fisioterapista per l’APSP Civica di Trento nella sede di Gardolo. Da oltre vent’anni mi occupo di persone anziane residenti in RSA e anche grazie a questa mia esperienza sono convinta che il benessere degli anziani sia una priorità fondamentale per costruire una società più inclusiva e attenta alle esigenze di tutti i suoi membri, anche dei più fragili. Si rende quindi necessario promuovere un invecchiamento sano favorendo la salute fisica, la socialità, ma anche un ambiente che garantisca comfort, sicurezza e dignità. Per raggiungere questi obiettivi credo sia essenziale potenziare la rete di assistenza domiciliare, renderla qualificata, capillare e accessibile e parimenti fare in modo che le RSA assicurino ambienti sempre più accoglienti e servizi socio-sanitari di alta qualità, in modo che anche le persone che non possono essere curate a casa ricevano l'assistenza necessaria in modo umano e dignitoso.",berardini.pdf,berardini.pdf,,,,,
Vasco Antonio Bergamaschi,team-29.jpg,"Nato sulle sponde del Lago Maggiore nel 1988, ho sempre vissuto a stretto contatto con la comunità di Laveno Mombello (VA), sviluppando fin da giovane un forte senso di impegno verso le persone e il territorio. Oggi voglio portare questo impegno a Trento, la città in cui ho scelto di vivere e costruire il mio futuro.
Mi sono laureato in Comunicazione per l’impresa e i media all’Università Cattolica di Milano, approfondendo temi di mass media, comunicazione pubblica e psicologia sociale. Con il programma Erasmus, ho trascorso un semestre all’Université Paris-Nanterre. Oggi collaboro ancora con l’Università Cattolica come assistente alla didattica.
Ho iniziato il mio percorso professionale nella comunicazione interna di Bricocenter. Successivamente, ho lavorato per quasi dieci anni nella comunicazione istituzionale del Gruppo Mondadori, occupandomi di digital communication, sostenibilità e diversity. Dal 2019 faccio parte della Nudge Global Impact Challenge, un progetto internazionale per la sostenibilità. Attualmente sono Communication Manager in Loacker, dove mi occupo di pubbliche relazioni.",bergamaschi.pdf,bergamaschi.pdf,vascorange,vasco.bergamaschi,vasco-bergamaschi,DHX4li6tGnx,
Stefano Bloise,team-23.jpg,"Mi chiamo Stefano Bloise e per 15 anni ho lavorato come barista in diversi locali del Trentino, un’esperienza che mi ha permesso di conoscere tante persone e vivere a pieno la realtà del territorio. Successivamente, ho deciso di intraprendere un nuovo percorso nel ramo dell’hotellerie, continuando a mettere al centro il contatto umano e l’ospitalità.    Sono sposato con Paola e insieme abbiamo due figli, rispettivamente di 17 e 13 anni. Nel tempo libero adoro andare in barca a vela, sentire il vento e la libertà dell’acqua. Sono anche un grande appassionato di vini, pur senza definirmi un esperto.    Credo nell’importanza di mettersi in gioco e di contribuire alla comunità con passione e impegno.",bloise.pdf,bloise.pdf,,,stefano-bloise-9290b3161,,
Andrea Bolner,team-22.jpg,Sono laureato in filologia e critica letteraria e ho lavorato come insegnante sia in Italia che all'estero. Da 30 anni mi impegno nella promozione di eventi musicali e artistico-culturali. Attualmente sono il gestore del Bar Funivia.,bolner.pdf,bolner.pdf,,,,,
Oscar Bottes,team-39.jpg,"nato a Trento prima che cadesse il muro di Berlino. Sono project manager in ambito culturale, con esperienza nel mondo della comunicazione, dove mi occupo di creare contenuti e piani editoriali. Lavoro anche come copywriter creativo e insegno lettere alle scuole superiori.
Ho vissuto e studiato a Berlino, Bruxelles e Milano. E sì, sono anche un pianista... così così.
",bottes.pdf,bottes.pdf,,,,,
Andrea Brunello,team-28.jpg,"drammaturgo, regista, attore e podcaster, attivo tra teatro e scienza. Fondatore del Teatro Portland e del festival Teatro della Meraviglia, dirige il Jet Propulsion Theatre all’Università di Trento. Laureato in fisica alla Cornell, con un PhD a Stony Brook, insegna comunicazione della scienza attraverso il teatro.",brunello.pdf,brunello.pdf,,,,,
Giuseppe Cao,team-33.jpg,"tecnico del suono e direttore tecnico, diplomato in Tecnologie del Suono all'Accademia Teatro alla Scala. Ha collaborato con Trento Service, il Centro Culturale Santa Chiara e Cobra SRL, lavorando su eventi culturali e fiere internazionali. Attivo nella consulenza tecnica e nell’organizzazione di eventi, porta creatività e competenza nel settore audio e visual.",cao.pdf,cao.pdf,,,,,
Siria Caputo,team-38.jpg,"imprenditrice della ristorazione, ha costruito la sua carriera con impegno e lavoro di squadra. Dopo il diploma all’istituto alberghiero, ha maturato esperienza in hotel e ristoranti fino ad aprire il suo primo locale. Sa che fare impresa significa organizzare, risolvere problemi e costruire relazioni.",caputo.pdf,caputo.pdf,,,,,
Alessandro Ciervo detto Ale Picaro,team-10.jpg,"alias Ale Picaro. Gestisco il Bar Picaro da 24 anni e dato le problematiche nella zona di Santa Maria Maggiore, ho deciso di ricandidarmi, per creare una Trento sicura di giorno e di notte. Inoltre lavoro per la re-cig che ricicla mozziconi di sigarette, dato che ci tengo all'ambiente. Le mie intenzioni sono di risolvere le questioni sulla sicurezza, continuare a creare sinergie con le associazioni trentine e magari semplificarne la burocrazia, migliorare i trasporti soprattutto serali e cercare di migliorare la raccolta differenziata, anche magari riciclando le mascherine che tutt'ora sono dentro agli istituti scolastici.",ciervo.pdf,ciervo.pdf,,,,,
Maria Pia Dalla Torre,team-4.jpg,"47 anni, sposata con due figli, vivo in Clarina e lavoro da oltre 20 anni nell’Area Servizi agli Studenti dell’Opera Universitaria di Trento, per garantire il diritto allo studio agli studenti universitari. Ho sempre dedicato il mio tempo libero al volontariato e dal 2022 sono diventata volontaria in cure palliative presso Casa Hospice Cima verde, dove presto accoglienza ed assistenza agli ospiti e ai loro familiari.",dalla_torre.pdf,dalla_torre.pdf,,,,,
Lorenzo Dalrì,team-6.jpg,"Ho lavorato fin dalla terza media, impegnandomi da subito come delegato sindacale. Anche da pensionato, continuo a dare consigli in ambito lavorativo. Appassionato di funghi e tifoso della Trentino Volley, credo che con l’impegno di tutti si possa costruire una società migliore per i nostri ragazzi.",dalri.pdf,dalri.pdf,,,,,
Felipe De Gasperi,team-25.jpg,"Nato a Bento Gonçalves, Brasile, si è trasferito a Trento nel 2022 con la sua famiglia, scegliendo Meano come casa. Dopo 11 anni in BANRISUL, oggi lavora in contabilità presso DAO. Con studi in Biologia, ha sempre operato in ambito amministrativo ed economico.",de_gasperi.pdf,de_gasperi.pdf,,,,,
Claudio Dellai,team-1.jpg,"Sono nato a Pergine Valsugana nel 1949 e, nel 1964, mi sono trasferito a Trento con la mia famiglia. Sono sposato e ho due figli, e dal 1996 vivo al Tridente di Trento.    Mi sono laureato presso la Facoltà di Architettura di Venezia e ho esercitato la professione con passione, affiancandola al mio ruolo di docente. Per molti anni ho insegnato Modellistica per il Design al Liceo Artistico Alessandro di Trento, trasmettendo agli studenti l’importanza della creatività e della progettazione.    Da sempre sono impegnato per il recupero urbano e ho avuto l'onore di guidare un progetto di risanamento condominiale, collaborando con il Sindaco Ianeselli per migliorare la qualità degli spazi abitativi.    Anche oggi continuo la mia battaglia per una Trento più bella e sicura, perché credo fermamente che l’architettura e il design possano fare la differenza nella vita delle persone.",dellai.pdf,dellai.pdf,,claudio.dellai,claudio-dellai-7a516560/,DHf3JLXt7FO,
Chiara De Pol,team-11.jpg,"Manager del turismo e Presidente di Lotus oltre il tumore al seno. Da anni a fianco delle donne e impegnata nel sociale.
Sono da sempre appassionata e curiosa di nuovi linguaggi e modalità di comunicazione. Negli ultimi anni mi sono specializzata in comunicazione digitale (social media marketing, influencer marketing e digital pr) facendo così diventare una passione la mia professione. Nel 2018 mi sono ammalata di tumore al seno e durante quel periodo ho incontrato molte persone spaventate per lo più per la “non conoscenza” della malattia, del percorso di cura, degli effetti collaterali delle terapie… spesso, infatti, queste informazioni non sono facili da capire o trovare. Mi sono resa conto quindi che queste mie competenze avrebbero potuto aiutare molte persone ad accedere in modo più facile ed immediato alle corrette informazioni e a conoscere meglio alcuni aspetti della malattia. Grazie, infatti, a progetti di comunicazioni con linguaggi semplici ed immediati, sempre validati da esperti e / o medici, sono riuscita a raggiungere molte persone. Una delle iniziative che ho realizzato si chiama Trekking Rosa ed è progetto di comunicazione e prevenzione non convenzionale del cancro. A seguito di questo ho anche fondato assieme ad un gruppo di 7 donne l’Associazione – Lotus Oltre il Tumore al Seno che si occupa di supportare il/la paziente oncologico con la consapevolezza di chi ha già affrontato e vinto il cancro e ha quindi ben presente le necessità dei pazienti.",de_pol.pdf,de_pol.pdf,blondy_wanderer,chiara.depol,chiara-de-pol-47841041/,DG3S1kaK6_x,"Trasformo la mia esperienza in forza collettiva, unendo comunicazione e solidarietà per sostenere chi affronta sfide difficili."
Francesca Fiori,team-32.jpg,"Sono la Coordinatrice del Centro Servizi Volontariato Trentino e consigliera comunale dal 2020, esperienze che mi hanno insegnato a trasformare i miei valori di cittadina in azioni concrete sul territorio.
Credo fermamente nel valore delle relazioni autentiche, quelle che costruiscono comunità inclusive, dove nessuno viene lasciato indietro. Per me, il vero progresso e benessere nascono dalla connessione tra le persone.",fiori.pdf,fiori.pdf,francesca__fiori/,francesca.fiori.374,francesca-fiori-274507153,,
Cristina Frizzera,team-34.jpg,"Commessa negozio abbigliamento, cuoca in casa accoglienza,  custode al castello buonconsiglio e volontaria presso casa accoglienza",frizzera.pdf,frizzera.pdf,,,,,
Francesca Furlani,team-35.jpg,Occupata dal 2008 nel settore alimentari e nello specifico presso il consorzio Sait. Appassionata di natura e sport - pratico prevalentemente la corsa in montagna e lo sci alpinismo.,furlani.pdf,furlani.pdf,,,,,
Ilana Gotz,team-36.jpg,"originaria di Los Angeles, vive a Trento da 15 anni ed è mamma di tre ragazze. Esperta di terzo settore, lavora presso EURICSE e ha collaborato a Trento Capitale Europea del Volontariato 2024. Attiva nel volontariato e nella cura dei beni comuni, si candida per una città accogliente e partecipata.",gotz.pdf,gotz.pdf,,,,,
Francesco Guadagnini,team-17.jpg,"oltre 30 anni di esperienza come magazziniere carrellista presso MAHLE, dove ha ricoperto il ruolo di rappresentante sindacale dal 1999. Da sempre attivo nella tutela dei diritti dei lavoratori, ha deciso di candidarsi per portare in Comune la voce di chi vive e lavora sul territorio, mettendo al servizio della comunità la sua determinazione e la sua esperienza concreta.",guadagnini.pdf,guadagnini.pdf,,,,,
Rebeh Harkati,team-14.jpg,"Nata in Tunisia nel 1978, ha lavorato come segretaria in una scuola elementare. In Trentino dal 2007, si è formata come aiuto cuoca e oggi lavora in una mensa scolastica. Madre di tre figli, si impegna per la comunità e l’integrazione.",harkati.pdf,harkati.pdf,,,,,
Spartak Malaj,team-26.jpg,"nato in Albania, vive a Trento dal 2001. Qui ha trovato opportunità di crescita personale e professionale, abbracciando valori come lo studio e l’accessibilità per tutti. Per lui, Trento non è solo una città, ma una comunità da valorizzare e far crescere insieme.",malaj.pdf,malaj.pdf,,,,,
Paolo Holneider,team-30.jpg,"Nato a Trento e ho 52 anni. 
Sposato con Laura dal 1997 e papà di 4 figli: Federico, Lorenzo, Alessandro e Andrea.
Consigliere e presidente della commissione politiche sociali della Circoscrizione Argentario.  
Maestro Artigiano Videoperatore: da oltre 30 anni lavoro in proprio con una piccola impresa attiva nel campo della comunicazione e delle produzioni video.
Dal 2000 sono giornalista pubblicista iscritto all’ordine del Trentino Alto Adige.
La crescita professionale ed educativa dei giovani è sempre stata al centro del mio percorso ed infatti da anni collaboro con l’istituto Artigianelli per le Arti Grafiche di Trento come esperto esterno nella materia “Tecniche di ripresa digitale e montaggio video”.
Dal 2016 al 2023 sono stato presidente di una Cooperativa Sociale di tipo B attiva nell’inserimento lavorativo di persone svantaggiate. 
Sono impegnato insieme a mia moglie Laura nel volontariato e nell’associazionismo familiare con Famiglie Nuove del Movimento dei Focolari e per oltre dieci anni sono stato attivo nel Forum delle Associazioni Familiari del Trentino.
Dal 2024 sono membro della Commissione per la Classificazione delle Opere Cinematografiche del Ministero della Cultura in rappresentanza del mondo della famiglia. 
Una grande motivazione, la ricerca del dialogo e la voglia di mettermi al servizio degli altri hanno sempre accompagnato la mia vita. 
",holneider.pdf,holneider.pdf,,,,,
Ting Ting Hu,team-18.jpg,"Sona nata a Moncalieri e cresciuta in Cina, ho avuto la fortuna di vivere in contesti culturali diversi, esperienze che mi hanno permesso di sviluppare una notevole apertura mentale, capacità di adattamento e competenze interculturali. Ritornata in Italia nel 2016 e ho iniziato la mia carriera nel settore bar, maturando un’esperienza decennale che mi ha permesso di sviluppare capacità di apprendimento rapido e problem solving. Oltre a questa attività, svolgo occasionalmente il ruolo di interprete, mettendo a disposizione le mie competenze linguistiche per tradurre documenti dall'italiano al cinese e viceversa. Offro inoltre servizi di interpretariato in contesti diversificati, tra cui conferenze, incontri d'affari, eventi e visite guidate, garantendo una comunicazione chiara e precisa. Questa duplice esperienza mi ha permesso di sviluppare eccellenti capacità comunicative, un forte senso di adattamento e una profonda sensibilità interculturale, strumenti essenziali per operare con efficacia in ambienti dinamici e internazionali. Nel 2021, ho scelto di proseguire il mio percorso accademico iscrivendomi all'Università di Trento, dove frequento attualmente il corso di laurea in Gestione Aziendale. La mia laurea è prevista per il 2025, data entro la quale intendo completare con successo il mio percorso formativo, integrando teoria e pratica attraverso progetti e attività extracurriculari. Al di fuori dell’ambito accademico e professionale, sono appassionata di viaggi, fotografia, attività che mi aiutano a mantenere un equilibrio tra vita personale e professionale e a stimolare la creatività.",tingtin.pdf,hu.pdf,,,,,
Jenny Koyate detta Jenny,team-24.jpg,"Psicologa, Docente e Volontaria
Sono una psicologa clinica e del lavoro, docente e formatrice, impegnata in progetti di inclusione sociale e benessere. Il mio lavoro si concentra su educazione, supporto psicologico e creazione di ambienti lavorativi più inclusivi.
Educazione e formazione: Come docente e psicologa scolastica presso l'Istituto Artigianelli di Trento, supporto gli studenti nel loro percorso di crescita. Collaboro con enti e aziende per la formazione su competenze trasversali e strategie per un apprendimento efficace.
Benessere nei luoghi di lavoro: Mi occupo di migliorare l'ambiente lavorativo, in particolare per le persone con Disturbi Specifici dell’Apprendimento (DSA). Ho ideato il Piano Lavorativo Personalizzato (PLP) per adattare le misure scolastiche al mondo del lavoro, favorendo un'integrazione professionale più efficace.
Psicologia clinica: Offro consulenza per supportare chi affronta difficoltà emotive e relazionali, creando uno spazio sicuro di ascolto.
Impegno sociale e volontariato: Sono volontaria presso la Casa Circondariale di Trento, dove fornisco supporto psicologico a detenuti colpevoli di reati sessuali. Inoltre, collaboro con il progetto Ponti Meticci per favorire l'inclusione sociale e lavorativa di persone di diverse origini. Faccio parte del gruppo di lavoro sulla Psicologia Scolastica dell'Ordine degli Psicologi di Trento, contribuendo alla mappatura e al miglioramento dei servizi psicologici nelle scuole.
Mi candido alle elezioni comunali di Trento con l’obiettivo di contribuire a soluzioni concrete per i problemi della nostra città, in particolare per quanto riguarda l'integrazione sociale e il sostegno alle nostre imprese locali. Penso che attraverso un lavoro coordinato, possiamo favorire l'accesso al lavoro, la formazione professionale e la creazione di opportunità, promuovendo una città più inclusiva e coesa.
",koyate.pdf,koyate.pdf,,jenny.koyate,jenny.koyate,,
Olesya Linetska,team-8.jpg,"Nata nel 1997 a Leopoli, Ucraina, si trasferisce in Italia a 15 anni. Volontaria attiva nell’Associazione Rasom Aps, ha organizzato aiuti umanitari e missioni in Ucraina, assistendo oltre 400 rifugiati con il progetto RASOM-SOS. Dal 2025 collabora con Trentino School of Management su progetti di formazione a distanza. ",linetska.pdf,linetska.pdf,,,,,
Giuliana Luise,team-19.jpg,"BUONA CREANZA 
Sono Giuliana, “LaGiuli”, una Trentina nata all’ombra del Doss Trento da un Valsuganotto ed 
una Rotaliana. 
Per venticinque anni ho lavorato come geometra libera professionista, poi la vita ha mischiato 
le carte a suo piacimento e da poco più di dieci anni lavoro nell’ambito delle pulizie, prima 
presso una Cooperativa sociale, in cui ho rivestito anche il ruolo di tutor occupandomi di 
lavoratori fragili, adesso presso una Ditta Privata. 
Sono un’addetta alle pulizie, un’ape operaia come amo definirci, contemporaneamente sono 
Responsabile del Personale, della logistica e di mille altre piccole incombenze. 
Per anni ho portato avanti passioni totalizzanti, il Teatro amatoriale con il Gad Città di Trento, 
in tifo in curva con La Trentino Volley ed ora sono tornata al primo amore e sono 
orgogliosamente una LadyBiker 
Una cosa non mi ha mai abbandonato in questi quasi sessant’anni “la bona creanza” 
Quell’insieme di etica, educazione, solidarietà, presenza e sorriso, a cui ispirarsi sempre nella 
quotidianità e nella socialità, sul lavoro e da adesso, spero, nella vita pubblica. 
Non è facile, perché è quel “vestito buono” da indossare anche quando il carattere, l’istinto e 
le avversità ti portano a reazioni più “umane”. 
Ho la fortuna di avere una figlia meravigliosa, che ogni giorno mi insegna a crescere insieme a 
lei in questo mondo dove la “bona creanza” sembra stia scomparendo 
Cosa posso dare a TRENTO? 
Il mio amore per “questa piccola città eterna”, che sotto la scorza dura ha un cuore sincero, 
pulsante e solidale 
Ambisco ad una comunità coesa, attenta a tutti i cittadini senza distinzioni e dove nessuno 
viene lasciato indietro 
…e un bel po’ di ironia, perchè senza una risata INSIEME, cupezza, falsità e cattiveria tessono 
una ragnatela da cui diventa diffiicile sbrogliarsi
",luise.pdf,luise.pdf,,,,,
Razije Maziami detta Rosi,team-21.jpg,"Arrivata dalla Macedonia, lavora nel settore della ristorazione. Dal 1989 Trento è diventata la sua casa, il luogo dove è nata sua figlia e a cui è profondamente legata. Sostiene questa lista per contribuire al futuro della città che l’ha accolta.",maziami.pdf,maziami.pdf,,,,,
Caterina Claudia Midiri,team-16.jpg,Spero di contribuire a rendere Trento una città umanamente migliore con le persone giuste! Insegno matematica all’ITT Buonarroti di Trento: insegnare è un mestiere di alto valore sociale e credo che una scuola efficace ed inclusiva conceda pari opportunità ai ragazzi che sono il futuro della nostra comunità.,midiri.pdf,midiri.pdf,,,,,
Maurizio Napolitano,team-40.jpg,"Per molti semplicemente ""napo"". Lavoro come ricercatore sulla collina di Povo, dove coordino un gruppo che si occupa di scienza dei dati, trasformazione digitale, etica dell’intelligenza artificiale e condivisione della conoscenza.
Credo fermamente nel digitale come strumento per creare beni comuni al servizio della società. Utilizzando dati e mappe, aiuto le persone a comprendere meglio il territorio per costruire un futuro più consapevole.
Ma la mia vita non è fatta solo di codice e algoritmi: sono anche un allenatore di pallavolo di lunga data, con esperienze all’estero. Lo sport mi ha insegnato il valore del lavoro di squadra, la forza di imparare dalle sconfitte e l’importanza di avere un obiettivo comune.
Condivido questa visione con mia moglie Lihua, ex pallavolista cinese (e un tempo mia avversaria!). Insieme, dialoghiamo in tedesco, perché, come nello sport e nella tecnologia, è la comunità che dà senso a tutto.
Il futuro si costruisce insieme, con conoscenza, collaborazione e passione.
",napolitano.pdf,napolitano.pdf,napolnx,naporsocapo,napolnx,,"Il futuro si costruisce insieme, con conoscenza, collaborazione e passione."
Angela Parziani,team-20.jpg,"Ha lavorato come impiegata presso la PAT (1991-1994) e come responsabile amministrativa al Consorzio Scuole Musicali (2000-2003). Dal 2004 al 2008 è stata responsabile FSE alla Comunità di San Patrignano. Volontaria dell’Associazione Dialogos dal 2009, si occupa di progetti di sviluppo in Guatemala. Dal 2010 è consulente aziendale in ambito sociale e dal 2017 volontaria al Gattile Pan-Eppaa di San Martino.",parziani.pdf,parziani.pdf,,,,,
Alberto Pattini,team-7.jpg,"Farmacista in piazza Duomo, scrittore di 32 libri tra cui di poesie legate alla montagna. Appassionato di arte, di fotografia, delle tradizioni trentine e di storia locale identitaria. Ricercatore di alimentazione dello sport. Consigliere comunale uscente",pattini.pdf,pattini.pdf,,,,,
Davide Rossi,team-3.jpg,"operatore socio-sanitario con esperienza nelle cure palliative e nell’assistenza domiciliare. Laureato in Studi Storici, unisce comunicazione e fotografia per raccontare storie di umanità. Ha curato Il sorriso che rimane (2021), vincitrice del Premio Francesca Paris Kirchner (2024).",rossi.pdf,rossi.pdf,,,,,
Livia Sassudelli,team-13.jpg,"Architetta specializzata in progettazione sostenibile e certificazioni ambientali, laureata allo IUAV di Venezia e vicepresidente di Agatn. Lavora con Macro Design Studio a Rovereto e ha esperienza internazionale in allestimenti e workshop di autocostruzione.",sassudelli.pdf,sassudelli.pdf,,,,,
Ilaria Segato,team-15.jpg,"Ilaria Segato, 41 anni, segretaria in una RSA, impegnata nel volontariato e nella scuola come Rappresentante dei Genitori. Crede nel valore della comunità e si candida per contribuire attivamente alla crescita di Trento.",segato.pdf,segato.pdf,,,,,
Xheik Shero,team-31.jpg,"Sono un professionista nel settore delle costruzioni e della gestione aziendale, con una solida esperienza nell’amministrazione, nella gestione di progetti e nell’organizzazione di eventi. Mi impegno attivamente nella promozione dell’integrazione e della partecipazione delle comunità locali, con un’attenzione particolare alla comunità albanese e al mondo dello sport.",shero.pdf,shero.pdf,shero.xheik,xheik.shero.31,,DHgFZDStEgv,
Giuliano Stelzer,team-9.jpg,Architetto in pensione. Negli ultimi vent'anni ho coordinato i Servizi Mobilità e Urbanistica del Comune di Trento e nel 2021 ho assunto un incarico speciale relativo alle relazioni tra città e mobilità e ai percorsi partecipati per la costruzione della visione della città del futuro.,stelzer.pdf,stelzer.pdf,,,,,
Jacopo Tomasi,team-27.jpg,"41 anni, giornalista professionista, lavora da dieci anni nella comunicazione per Edizioni Erickson, occupandosi di inclusione e salute mentale. Appassionato di viaggi, lettura e ciclismo, sogna una Trento più aperta e accogliente per il futuro dei suoi figli.",tomasi.pdf,tomasi.pdf,,,,,
Daniele Vettorato,team-2.jpg,"Daniele Vettorato, urbanista con 20 anni di esperienza, guida il gruppo di ricerca sui Sistemi Energetici Urbani presso EURAC Research. Laureato allo IUAV e dottore in Ingegneria Ambientale, ha collaborato a progetti internazionali e pubblicato oltre 65 articoli scientifici. Membro di ISOCARP e attivo sulle Smart Cities, si candida per portare innovazione e sostenibilità a Trento.",vettorato.pdf,vettorato.pdf,,,,,
Laura Zumiani,team-5.jpg,"manager culturale e cinematografica. Ho fondato la Trentino Film Commission, che ho guidato dal 2010 al 2018. Attualmente sono responsabile della Programmazione generale del Trento Film Festival e, dal 2021, membro del direttivo dell’AFIC, l’Associazione Festival Italiani di Cinema.
Sono fortemente impegnata nel Quartiere San Giuseppe di Trento, dove ho fondato e presiedo l’Associazione Quartiere San Pio X. Questo progetto di laboratorio urbano e sociale, nato dal basso, ha promosso un nuovo immaginario di quartiere nel segno dell’Unicorno.
",zumiani.pdf,zumiani.pdf,laura.zumiani,zumianilaura,laura-zumiani-87389b43,,
